rule_id,rule_name,severity,MunID,Municipality,Property Class,Tax Ratio,base_lt_rate,LT/ST Tax Rate,expected_rate,detail
R06,Within-municipality rate consistency,warning,54036,Armstrong Tp,Multi-Residential,2.357735,0.00989779,0.0230217,0.02333636590565,Multi-Residential LT rate 0.023022 does not equal residential base 0.009898 * tax ratio 2.3577 = 0.023336
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Industrial,1.9846080000000001,0.03386339,0.06643378,0.06720555470112001,Industrial LT rate 0.066434 does not equal residential base 0.033863 * tax ratio 1.9846 = 0.067206
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Industrial,1.9846080000000001,0.03386339,0.06643378,0.06720555470112001,Industrial LT rate 0.066434 does not equal residential base 0.033863 * tax ratio 1.9846 = 0.067206
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,Large Industrial,3.225438,0.03386339,0.10796996,0.10922426491482,Large Industrial LT rate 0.10797 does not equal residential base 0.033863 * tax ratio 3.2254 = 0.109224
R06,Within-municipality rate consistency,warning,59001,Atikokan Tp,"Industrial, NConstr.",1.9846080000000001,0.03386339,0.06643378,0.06720555470112001,"Industrial, NConstr. LT rate 0.066434 does not equal residential base 0.033863 * tax ratio 1.9846 = 0.067206"
R06,Within-municipality rate consistency,warning,52028,Baldwin Tp,Managed Forest,0.25,0.01092259,0.002273,0.0027306475,Managed Forest LT rate 0.002273 does not equal residential base 0.010923 * tax ratio 0.25 = 0.002731
R06,Within-municipality rate consistency,warning,47015,Bonnechere Valley Tp,Industrial,2.7168390000000002,0.00670694,0.01810461,0.01822167616266,Industrial LT rate 0.018105 does not equal residential base 0.006707 * tax ratio 2.7168 = 0.018222
R06,Within-municipality rate consistency,warning,47015,Bonnechere Valley Tp,Industrial,2.7168390000000002,0.00670694,0.01810461,0.01822167616266,Industrial LT rate 0.018105 does not equal residential base 0.006707 * tax ratio 2.7168 = 0.018222
R06,Within-municipality rate consistency,warning,47015,Bonnechere Valley Tp,"Industrial, NConstr.",2.7168390000000002,0.00670694,0.01810461,0.01822167616266,"Industrial, NConstr. LT rate 0.018105 does not equal residential base 0.006707 * tax ratio 2.7168 = 0.018222"
R06,Within-municipality rate consistency,warning,47018,"Brudenell, Lyndoch and Raglan Tp",Industrial,2.7168390000000002,0.00578097,0.01558926,0.01570596475383,Industrial LT rate 0.015589 does not equal residential base 0.005781 * tax ratio 2.7168 = 0.015706
